mmsi,geartype,secondary geartype,length,tonnage,country
257124220,Fishing vessel,Fishing vessel,,,NOR
257124420,Fishing vessel,Fishing vessel,,24.0,NOR
257124440,Fishing vessel,Fishing vessel,,,
257124500,Fishing vessel,Fishing vessel,,,
257124520,Fishing vessel,Fishing vessel,,24.0,NOR
257124640,Fishing vessel,Fishing vessel,,14.0,NOR
257124740,Fishing vessel,Fishing vessel,,22.0,
257124800,Fishing vessel,Fishing vessel,,,NOR
257124840,Fishing vessel,Fishing vessel,,7.0,NOR
257124920,Fishing vessel,Fishing vessel,,,NOR
257124940,Fishing vessel,Fishing vessel,,25.0,
257125020,Fishing vessel,Fishing vessel,,,NOR
257125040,Fishing vessel,Fishing vessel,,10.0,NOR
257125120,Fishing vessel,Fishing vessel,,,
257125140,Fishing vessel,Fishing vessel,,39.0,NOR
257125440,Fishing vessel,Fishing vessel,,,
257125500,Fishing vessel,Fishing vessel,,1969.0,
257125540,Fishing vessel,Fishing vessel,,,
257125600,Fishing vessel,Fishing vessel,,,NOR
257125700,Fishing vessel,Fishing vessel,,,
257125720,Fishing vessel,Fishing vessel,,24.0,NOR
257125800,Fishing vessel,Fishing vessel,,,
257125820,Fishing vessel,Fishing vessel,,,NOR
257125920,Fishing vessel,Fishing vessel,,20.0,NOR
257126020,Fishing vessel,Fishing vessel,,,
257126040,Fishing vessel,Fishing vessel,,18.0,NOR
257126120,Fishing vessel,Fishing vessel,,,
257126220,Fishing vessel,Fishing vessel,,,
257126420,Fishing vessel,Fishing vessel,,,
257126440,Fishing vessel,Fishing vessel,,12.0,
257126500,Fishing vessel,Fishing vessel,,,NOR
257126740,Fishing vessel,Fishing vessel,,24.0,NOR
257126840,Fishing vessel,Fishing vessel,,,
257127020,Fishing vessel,Fishing vessel,,,
257127220,Fishing vessel,Fishing vessel,,,
257127520,Fishing vessel,Fishing vessel,,,NOR
257127620,Fishing vessel,Fishing vessel,,9.0,
257127640,Fishing vessel,Fishing vessel,,8.0,
257127920,Fishing vessel,Fishing vessel,,,
257128000,Fishing vessel,Fishing vessel,,489.0,NOR
257128020,Fishing vessel,Fishing vessel,,,NOR
257128140,Fishing vessel,Fishing vessel,,21.0,
257128220,Fishing vessel,Fishing vessel,,,
257128340,Fishing vessel,Fishing vessel,,46.0,
257128420,Fishing vessel,Fishing vessel,,18.0,NOR
257128440,Fishing vessel,Fishing vessel,,,NOR
257128620,Fishing vessel,Fishing vessel,,,NOR
257128640,Fishing vessel,Fishing vessel,,48.0,
257128700,Fishing vessel,Fishing vessel,,,
257128720,Fishing vessel,Fishing vessel,,23.0,
257128820,Fishing vessel,Fishing vessel,,,
257128840,Fishing vessel,Fishing vessel,,,
257128920,Fishing vessel,Fishing vessel,,,NOR
257129020,Fishing vessel,Fishing vessel,,,
257129140,Fishing vessel,Fishing vessel,,,NOR
257129220,Fishing vessel,Fishing vessel,,,
257129320,Fishing vessel,Fishing vessel,,,NOR
257129420,Fishing vessel,Fishing vessel,,,NOR
257129520,Fishing vessel,Fishing vessel,,,NOR
257129620,Fishing vessel,Fishing vessel,,,
257129640,Fishing vessel,Fishing vessel,,23.0,
257129720,Fishing vessel,Fishing vessel,,,
257129840,Fishing vessel,Fishing vessel,,,NOR
257129940,Fishing vessel,Fishing vessel,,,NOR
257130020,Fishing vessel,Fishing vessel,,,
257130040,Fishing vessel,Fishing vessel,,23.0,NOR
257130220,Fishing vessel,Fishing vessel,,,
257130240,Fishing vessel,Fishing vessel,,,NOR
257130320,Fishing vessel,Fishing vessel,,,NOR
257130340,Fishing vessel,Fishing vessel,,,
257130420,Fishing vessel,Fishing vessel,,,
257130500,Fishing vessel,Fishing vessel,,,
257130620,Fishing vessel,Fishing vessel,,,NOR
257130720,Fishing vessel,Fishing vessel,,,
257130740,Fishing vessel,Fishing vessel,,,
257130820,Fishing vessel,Fishing vessel,,9.0,
257130920,Fishing vessel,Fishing vessel,,,NOR
257131020,Fishing vessel,Fishing vessel,,12.0,NOR
257131120,Fishing vessel,Fishing vessel,,,
257131220,Fishing vessel,Fishing vessel,,11.0,
257131240,Fishing vessel,Fishing vessel,,24.0,
257131320,Fishing vessel,Fishing vessel,,18.0,NOR
257131420,Fishing vessel,Fishing vessel,,,NOR
257131440,Fishing vessel,Fishing vessel,,,
257131500,Fishing vessel,Fishing vessel,,,
257131520,Fishing vessel,Fishing vessel,,,NOR
257131540,Fishing vessel,Fishing vessel,,,
257131620,Fishing vessel,Fishing vessel,,,
257131720,Fishing vessel,Fishing vessel,,,
257131740,Fishing vessel,Fishing vessel,,,NOR
257131800,Fishing vessel,Fishing vessel,,83.0,NOR
257131920,Fishing vessel,Fishing vessel,,,
257131940,Fishing vessel,Fishing vessel,,,
257132020,Fishing vessel,Fishing vessel,,,
257132140,Fishing vessel,Fishing vessel,,14.0,
257132240,Fishing vessel,Fishing vessel,,,NOR
257132340,Fishing vessel,Fishing vessel,,17.0,
257132420,Fishing vessel,Fishing vessel,,,
257132440,Fishing vessel,Fishing vessel,,,
257132500,Fishing vessel,Fishing vessel,,,
257132540,Fishing vessel,Fishing vessel,,8.0,
257132600,Fishing vessel,Fishing vessel,,3.0,
257132720,Fishing vessel,Fishing vessel,,,
257132820,Fishing vessel,Fishing vessel,,15.0,NOR
257132940,Fishing vessel,Fishing vessel,,8.0,
257133000,Fishing vessel,Fishing vessel,,493.0,NOR
257133140,Fishing vessel,Fishing vessel,,14.0,NOR
257133220,Fishing vessel,Fishing vessel,,,
257133340,Fishing vessel,Fishing vessel,,,
257133420,Fishing vessel,Fishing vessel,,,
257133500,Fishing vessel,Fishing vessel,,,NOR
257133620,Fishing vessel,Fishing vessel,,,NOR
257133720,Fishing vessel,Fishing vessel,,,NOR
257133740,Fishing vessel,Fishing vessel,,,
257133820,Fishing vessel,Fishing vessel,,10.0,
257134020,Fishing vessel,Fishing vessel,,,
257134040,Fishing vessel,Fishing vessel,,31.0,NOR
257134420,Fishing vessel,Fishing vessel,,,NOR
257134500,Fishing vessel,Fishing vessel,,,NOR
257134540,Fishing vessel,Fishing vessel,,8.0,
257134620,Fishing vessel,Fishing vessel,,,NOR
257134720,Fishing vessel,Fishing vessel,,,
257134820,Fishing vessel,Fishing vessel,,,
257134920,Fishing vessel,Fishing vessel,,,
257134940,Fishing vessel,Fishing vessel,,22.0,
257135000,Fishing vessel,Fishing vessel,,1899.0,NOR
257135020,Fishing vessel,Fishing vessel,,,NOR
257135120,Fishing vessel,Fishing vessel,,,
257135220,Fishing vessel,Fishing vessel,,,NOR
257135420,Fishing vessel,Fishing vessel,,,
257135440,Fishing vessel,Fishing vessel,,,
257135500,Fishing vessel,Fishing vessel,,,NOR
257135520,Fishing vessel,Fishing vessel,,,NOR
257135620,Fishing vessel,Fishing vessel,,,NOR
257135720,Fishing vessel,Fishing vessel,,,
257135740,Fishing vessel,Fishing vessel,,,
257135820,Fishing vessel,Fishing vessel,,,
257135840,Fishing vessel,Fishing vessel,,,
257135920,Fishing vessel,Fishing vessel,,,
257136020,Fishing vessel,Fishing vessel,,,
257136040,Fishing vessel,Fishing vessel,,,NOR
257136220,Fishing vessel,Fishing vessel,,,NOR
257136320,Fishing vessel,Fishing vessel,,,
257136340,Fishing vessel,Fishing vessel,,9.0,NOR
257136420,Fishing vessel,Fishing vessel,,10.0,NOR
257136500,Fishing vessel,Fishing vessel,,7.0,NOR
257136520,Fishing vessel,Fishing vessel,,,NOR
257136540,Fishing vessel,Fishing vessel,,12.0,
257136640,Fishing vessel,Fishing vessel,,,NOR
257136700,Fishing vessel,Fishing vessel,,,
257136720,Fishing vessel,Fishing vessel,,,NOR
257136740,Fishing vessel,Fishing vessel,,12.0,
257136920,Fishing vessel,Fishing vessel,,12.0,
257137020,Fishing vessel,Fishing vessel,,,
257137040,Fishing vessel,Fishing vessel,,4.0,
257137220,Fishing vessel,Fishing vessel,,,
257137240,Fishing vessel,Fishing vessel,,,
257137320,Fishing vessel,Fishing vessel,,,
257137420,Fishing vessel,Fishing vessel,,,NOR
257137520,Fishing vessel,Fishing vessel,,,
257137620,Fishing vessel,Fishing vessel,,,
257137640,Fishing vessel,Fishing vessel,,,
257137720,Fishing vessel,Fishing vessel,,,
257137940,Fishing vessel,Fishing vessel,,8.0,
257138000,Fishing vessel,Fishing vessel,,,NOR
257138020,Fishing vessel,Fishing vessel,,,
257138040,Fishing vessel,Fishing vessel,,,
257138120,Fishing vessel,Fishing vessel,,,
257138140,Fishing vessel,Fishing vessel,,11.0,
257138220,Fishing vessel,Fishing vessel,,,
257138240,Fishing vessel,Fishing vessel,,,
257138320,Fishing vessel,Fishing vessel,,,
257138420,Fishing vessel,Fishing vessel,,32.0,NOR
257138440,Fishing vessel,Fishing vessel,,9.0,
257138520,Fishing vessel,Fishing vessel,,18.0,
257138540,Fishing vessel,Fishing vessel,,,
257138620,Fishing vessel,Fishing vessel,,,NOR
257138720,Fishing vessel,Fishing vessel,,,NOR
257138820,Fishing vessel,Fishing vessel,,,NOR
257138920,Fishing vessel,Fishing vessel,,,
257138940,Fishing vessel,Fishing vessel,,,
257139020,Fishing vessel,Fishing vessel,,,
257139040,Fishing vessel,Fishing vessel,,,
257139120,Fishing vessel,Fishing vessel,,24.0,NOR
257139140,Fishing vessel,Fishing vessel,,,
257139240,Fishing vessel,Fishing vessel,,29.0,NOR
257139340,Fishing vessel,Fishing vessel,,9.0,
257139420,Fishing vessel,Fishing vessel,,,
257139520,Fishing vessel,Fishing vessel,,,NOR
257139720,Fishing vessel,Fishing vessel,,,
257139920,Fishing vessel,Fishing vessel,,,
257139940,Fishing vessel,Fishing vessel,,8.0,NOR
257140040,Fishing vessel,Fishing vessel,,,NOR
257140120,Fishing vessel,Fishing vessel,,,NOR
257140140,Fishing vessel,Fishing vessel,,,NOR
257140220,Fishing vessel,Fishing vessel,,,
257140240,Fishing vessel,Fishing vessel,,,NOR
257140340,Fishing vessel,Fishing vessel,,,
257140520,Fishing vessel,Fishing vessel,,,
257140620,Fishing vessel,Fishing vessel,,,NOR
257140640,Fishing vessel,Fishing vessel,,,
257140840,Fishing vessel,Fishing vessel,,,
257140920,Fishing vessel,Fishing vessel,,,NOR
257140940,Fishing vessel,Fishing vessel,,28.0,
257141020,Fishing vessel,Fishing vessel,,,
257141040,Fishing vessel,Fishing vessel,,,NOR
257141220,Fishing vessel,Fishing vessel,,,
257141320,Fishing vessel,Fishing vessel,,,NOR
257141340,Fishing vessel,Fishing vessel,,,
257141420,Fishing vessel,Fishing vessel,,,
257141540,Fishing vessel,Fishing vessel,,,
257141720,Fishing vessel,Fishing vessel,,,NOR
257141820,Fishing vessel,Fishing vessel,,,
257141840,Fishing vessel,Fishing vessel,,24.0,
257141900,Fishing vessel,Fishing vessel,,,
257141920,Fishing vessel,Fishing vessel,,,
257141940,Fishing vessel,Fishing vessel,,,NOR
257142040,Fishing vessel,Fishing vessel,,,
257142140,Fishing vessel,Fishing vessel,,25.0,
257142220,Fishing vessel,Fishing vessel,,,
257142240,Fishing vessel,Fishing vessel,,8.0,
257142420,Fishing vessel,Fishing vessel,,,
257142520,Fishing vessel,Fishing vessel,,,NOR
257142620,Fishing vessel,Fishing vessel,,,NOR
257142720,Fishing vessel,Fishing vessel,,,
257142820,Fishing vessel,Fishing vessel,,,
257142920,Fishing vessel,Fishing vessel,,,NOR
257143040,Fishing vessel,Fishing vessel,,,
257143120,Fishing vessel,Fishing vessel,,,NOR
257143220,Fishing vessel,Fishing vessel,,,
257143420,Fishing vessel,Fishing vessel,,,NOR
257143440,Fishing vessel,Fishing vessel,,3.0,NOR
257143520,Fishing vessel,Fishing vessel,,,
257143720,Fishing vessel,Fishing vessel,,20.0,NOR
257143740,Fishing vessel,Fishing vessel,,,NOR
257143920,Fishing vessel,Fishing vessel,,,
257144020,Fishing vessel,Fishing vessel,,,
257144040,Fishing vessel,Fishing vessel,,,
257144120,Fishing vessel,Fishing vessel,,,NOR
257144220,Fishing vessel,Fishing vessel,,,NOR
257144240,Fishing vessel,Fishing vessel,,,NOR
257144320,Fishing vessel,Fishing vessel,,,
257144440,Fishing vessel,Fishing vessel,,,
257144720,Fishing vessel,Fishing vessel,,,
257144920,Fishing vessel,Fishing vessel,,,NOR
257145120,Fishing vessel,Fishing vessel,,16.0,
257145220,Fishing vessel,Fishing vessel,,,NOR
257145320,Fishing vessel,Fishing vessel,,,NOR
257145420,Fishing vessel,Fishing vessel,,,
257145520,Fishing vessel,Fishing vessel,,18.0,
257145600,Fishing vessel,Fishing vessel,,,NOR
257145800,Fishing vessel,Fishing vessel,,,NOR
257145820,Fishing vessel,Fishing vessel,,65.0,NOR
257145920,Fishing vessel,Fishing vessel,,,
257146020,Fishing vessel,Fishing vessel,,,
257146120,Fishing vessel,Fishing vessel,,,
257146140,Fishing vessel,Fishing vessel,,,
257146220,Fishing vessel,Fishing vessel,,,NOR
257146440,Fishing vessel,Fishing vessel,,,
257146520,Fishing vessel,Fishing vessel,,,NOR
257146540,Fishing vessel,Fishing vessel,,,
257146620,Fishing vessel,Fishing vessel,,,
257146640,Fishing vessel,Fishing vessel,,,
257146800,Fishing vessel,Fishing vessel,,,NOR
257146820,Fishing vessel,Fishing vessel,,,
257146900,Fishing vessel,Fishing vessel,,,
257146920,Fishing vessel,Fishing vessel,,19.0,
257147020,Fishing vessel,Fishing vessel,,,
257147120,Fishing vessel,Fishing vessel,,,
257147220,Fishing vessel,Fishing vessel,,,
257147320,Fishing vessel,Fishing vessel,,,NOR
257147420,Fishing vessel,Fishing vessel,,,
257147500,Fishing vessel,Fishing vessel,,,
257147720,Fishing vessel,Fishing vessel,,,
257147820,Fishing vessel,Fishing vessel,,,NOR
257147900,Fishing vessel,Fishing vessel,,,NOR
257147920,Fishing vessel,Fishing vessel,,43.0,NOR
257148020,Fishing vessel,Fishing vessel,,24.0,NOR
257148220,Fishing vessel,Fishing vessel,,,NOR
257148320,Fishing vessel,Fishing vessel,,,
257148420,Fishing vessel,Fishing vessel,,,NOR
257148500,Fishing vessel,Fishing vessel,,,
257148520,Fishing vessel,Fishing vessel,,,NOR
257148620,Fishing vessel,Fishing vessel,,24.0,NOR
257148820,Fishing vessel,Fishing vessel,,,
257148920,Fishing vessel,Fishing vessel,,,
257149000,Fishing vessel,Fishing vessel,,388.0,NOR
257149020,Fishing vessel,Fishing vessel,,,NOR
257149120,Fishing vessel,Fishing vessel,,39.0,NOR
257149220,Fishing vessel,Fishing vessel,,,NOR
257149320,Fishing vessel,Fishing vessel,,7.0,
257149420,Fishing vessel,Fishing vessel,,,NOR
257149500,Fishing vessel,Fishing vessel,,,NOR
257149520,Fishing vessel,Fishing vessel,,,
257149720,Fishing vessel,Fishing vessel,,,
257149820,Fishing vessel,Fishing vessel,,7.0,
257149920,Fishing vessel,Fishing vessel,,24.0,NOR
257150020,Fishing vessel,Fishing vessel,,,
257150120,Fishing vessel,Fishing vessel,,,NOR
257150140,Fishing vessel,Fishing vessel,,12.0,NOR
257150220,Fishing vessel,Fishing vessel,,,
257150240,Fishing vessel,Fishing vessel,,,NOR
257150320,Fishing vessel,Fishing vessel,,,
257150340,Fishing vessel,Fishing vessel,,,
257150420,Fishing vessel,Fishing vessel,,5.0,
257150520,Fishing vessel,Fishing vessel,,,
257150620,Fishing vessel,Fishing vessel,,10.0,NOR
257150640,Fishing vessel,Fishing vessel,,,
257150700,Fishing vessel,Fishing vessel,,8.0,NOR
257150720,Fishing vessel,Fishing vessel,,18.0,NOR
257150820,Fishing vessel,Fishing vessel,,9.0,
257150840,Fishing vessel,Fishing vessel,,,
257150920,Fishing vessel,Fishing vessel,,,NOR
257151020,Fishing vessel,Fishing vessel,,,
257151040,Fishing vessel,Fishing vessel,,,
257151120,Fishing vessel,Fishing vessel,,,NOR
257151240,Fishing vessel,Fishing vessel,,,NOR
257151720,Fishing vessel,Fishing vessel,,,NOR
257152420,Fishing vessel,Fishing vessel,,,NOR
257152520,Fishing vessel,Fishing vessel,,,NOR
257152620,Fishing vessel,Fishing vessel,,,NOR
257153140,Fishing vessel,Fishing vessel,,,NOR
257153220,Fishing vessel,Fishing vessel,,,NOR
257153240,Fishing vessel,Fishing vessel,,,NOR
257153500,Fishing vessel,Fishing vessel,,,NOR
257153520,Fishing vessel,Fishing vessel,,,NOR
257153700,Fishing vessel,Fishing vessel,,,NOR
257154220,Fishing vessel,Fishing vessel,,,NOR
257154320,Fishing vessel,Fishing vessel,,,NOR
257154420,Fishing vessel,Fishing vessel,,,NOR
257154620,Fishing vessel,Fishing vessel,,,
257154640,Fishing vessel,Fishing vessel,,,
257154720,Fishing vessel,Fishing vessel,,,NOR
257154740,Fishing vessel,Fishing vessel,,,
257154820,Fishing vessel,Fishing vessel,,,
257154900,Fishing vessel,Fishing vessel,,,NOR
257155000,Drifting longlines,Drifting longlines,54.579999999999998,1155.0,NOR
257155020,Fishing vessel,Fishing vessel,,19.0,
257155040,Fishing vessel,Fishing vessel,,,
257155120,Fishing vessel,Fishing vessel,,,
257155220,Fishing vessel,Fishing vessel,,,
257155240,Fishing vessel,Fishing vessel,,12.0,
257155320,Fishing vessel,Fishing vessel,,,
257155500,Fishing vessel,Fishing vessel,,47.0,NOR
257155540,Fishing vessel,Fishing vessel,,,
257155620,Fishing vessel,Fishing vessel,,,
257155720,Fishing vessel,Fishing vessel,,,
257155740,Fishing vessel,Fishing vessel,,,NOR
257155820,Fishing vessel,Fishing vessel,,,
257155840,Fishing vessel,Fishing vessel,,5.0,
257155920,Fishing vessel,Fishing vessel,,,
257156020,Fishing vessel,Fishing vessel,,,
257156040,Fishing vessel,Fishing vessel,,20.0,NOR
257156120,Fishing vessel,Fishing vessel,,,NOR
257156140,Fishing vessel,Fishing vessel,,,
257156240,Fishing vessel,Fishing vessel,,18.0,NOR
257156320,Fishing vessel,Fishing vessel,,,NOR
257156340,Fishing vessel,Fishing vessel,,,
257156500,Fishing vessel,Fishing vessel,,,NOR
257156540,Fishing vessel,Fishing vessel,,,
257156640,Fishing vessel,Fishing vessel,,16.0,NOR
257156720,Fishing vessel,Fishing vessel,,,
257156740,Fishing vessel,Fishing vessel,,,
257156940,Fishing vessel,Fishing vessel,,,
257157020,Fishing vessel,Fishing vessel,,,NOR
257157040,Fishing vessel,Fishing vessel,,,
257157120,Fishing vessel,Fishing vessel,,20.0,NOR
257157220,Fishing vessel,Fishing vessel,,,
257157240,Fishing vessel,Fishing vessel,,6.0,NOR
257157320,Fishing vessel,Fishing vessel,,,
257157340,Fishing vessel,Fishing vessel,,,NOR
257157440,Fishing vessel,Fishing vessel,,19.0,
257157500,Fishing vessel,Fishing vessel,,,NOR
257157520,Fishing vessel,Fishing vessel,,,NOR
257157600,Fishing vessel,Fishing vessel,,,
257157620,Fishing vessel,Fishing vessel,,,NOR
257157640,Fishing vessel,Fishing vessel,,24.0,NOR
257157700,Fishing vessel,Fishing vessel,,,
257157720,Fishing vessel,Fishing vessel,,,
257157740,Fishing vessel,Fishing vessel,,14.0,NOR
257157820,Fishing vessel,Fishing vessel,,,
257157920,Fishing vessel,Fishing vessel,,,NOR
257157940,Fishing vessel,Fishing vessel,,16.0,NOR
257158020,Fishing vessel,Fishing vessel,,,
257158120,Fishing vessel,Fishing vessel,,,
257158220,Fishing vessel,Fishing vessel,,,
257158320,Fishing vessel,Fishing vessel,,,
257158340,Fishing vessel,Fishing vessel,,,
257158420,Fishing vessel,Fishing vessel,,,
257158520,Fishing vessel,Fishing vessel,,,
257158540,Fishing vessel,Fishing vessel,,,NOR
257158620,Fishing vessel,Fishing vessel,,,
257158720,Fishing vessel,Fishing vessel,,9.0,
257158740,Fishing vessel,Fishing vessel,,,
257158840,Fishing vessel,Fishing vessel,,,NOR
257158920,Fishing vessel,Fishing vessel,,,NOR
257159040,Fishing vessel,Fishing vessel,,,
257159120,Fishing vessel,Fishing vessel,,,
257159220,Fishing vessel,Fishing vessel,,,NOR
257159240,Fishing vessel,Fishing vessel,,,
257159320,Fishing vessel,Fishing vessel,,18.0,NOR
257159340,Fishing vessel,Fishing vessel,,,
257159420,Fishing vessel,Fishing vessel,,,
257159640,Fishing vessel,Fishing vessel,,,
257159740,Fishing vessel,Fishing vessel,,,
257159820,Fishing vessel,Fishing vessel,,,
257159840,Fishing vessel,Fishing vessel,,,
257159920,Fishing vessel,Fishing vessel,,18.0,NOR
257159940,Fishing vessel,Fishing vessel,,8.0,NOR
257160020,Fishing vessel,Fishing vessel,,24.0,NOR
257160040,Fishing vessel,Fishing vessel,,,
257160120,Fishing vessel,Fishing vessel,,,NOR
257160140,Fishing vessel,Fishing vessel,,,NOR
257160240,Fishing vessel,Fishing vessel,,10.0,NOR
257160320,Fishing vessel,Fishing vessel,,8.0,
257160420,Fishing vessel,Fishing vessel,,,
257160520,Fishing vessel,Fishing vessel,,,
257160620,Fishing vessel,Fishing vessel,,,NOR
257160640,Fishing vessel,Fishing vessel,,,NOR
257160740,Fishing vessel,Fishing vessel,,,NOR
257160920,Fishing vessel,Fishing vessel,,,
257160940,Fishing vessel,Fishing vessel,,,
257161020,Fishing vessel,Fishing vessel,,,
257161040,Fishing vessel,Fishing vessel,,6.0,NOR
257161120,Fishing vessel,Fishing vessel,,,
257161140,Fishing vessel,Fishing vessel,,,NOR
257161240,Fishing vessel,Fishing vessel,,,
257161320,Fishing vessel,Fishing vessel,,,NOR
257161420,Fishing vessel,Fishing vessel,,,NOR
257161520,Fishing vessel,Fishing vessel,,,
257161540,Fishing vessel,Fishing vessel,,,
257161620,Fishing vessel,Fishing vessel,,,NOR
257161720,Fishing vessel,Fishing vessel,,,
257161740,Fishing vessel,Fishing vessel,,,
257161840,Fishing vessel,Fishing vessel,,,
257161940,Fishing vessel,Fishing vessel,,,
257162040,Fishing vessel,Fishing vessel,,,
257162120,Fishing vessel,Fishing vessel,,,
257162220,Fishing vessel,Fishing vessel,,,
257162420,Fishing vessel,Fishing vessel,,,
257162520,Fishing vessel,Fishing vessel,,,
257162540,Fishing vessel,Fishing vessel,,,
257162600,Fishing vessel,Fishing vessel,,,NOR
257162620,Fishing vessel,Fishing vessel,,,
257162640,Fishing vessel,Fishing vessel,,,NOR
257162720,Fishing vessel,Fishing vessel,,,
257162740,Fishing vessel,Fishing vessel,,,
257162800,Fishing vessel,Fishing vessel,,7.0,
257162840,Fishing vessel,Fishing vessel,,,
257162940,Fishing vessel,Fishing vessel,,,
257163040,Fishing vessel,Fishing vessel,,,
257163120,Fishing vessel,Fishing vessel,,,NOR
257163140,Fishing vessel,Fishing vessel,,,NOR
257163220,Fishing vessel,Fishing vessel,,20.0,
257163240,Fishing vessel,Fishing vessel,,,
257163320,Fishing vessel,Fishing vessel,,25.0,NOR
257163340,Fishing vessel,Fishing vessel,,,
257163500,Fishing vessel,Fishing vessel,,,NOR
257163640,Fishing vessel,Fishing vessel,,9.0,
257163800,Fishing vessel,Fishing vessel,,,
257163840,Fishing vessel,Fishing vessel,,,
257163900,Fishing vessel,Fishing vessel,,,
257163940,Fishing vessel,Fishing vessel,,5.0,NOR
257164020,Fishing vessel,Fishing vessel,,,
257164040,Fishing vessel,Fishing vessel,,4.0,
257164140,Fishing vessel,Fishing vessel,,,
257164220,Fishing vessel,Fishing vessel,,,
257164320,Fishing vessel,Fishing vessel,,,NOR
257164340,Fishing vessel,Fishing vessel,,24.0,NOR
257164420,Fishing vessel,Fishing vessel,,,
257164440,Fishing vessel,Fishing vessel,,,
257164500,Fishing vessel,Fishing vessel,,,NOR
257164540,Fishing vessel,Fishing vessel,,,
257164640,Fishing vessel,Fishing vessel,,,NOR
257164700,Fishing vessel,Fishing vessel,,,NOR
257164720,Fishing vessel,Fishing vessel,,,
257164820,Fishing vessel,Fishing vessel,,,NOR
257164920,Fishing vessel,Fishing vessel,,,
257165020,Fishing vessel,Fishing vessel,,,
257165140,Fishing vessel,Fishing vessel,,,
257165320,Fishing vessel,Fishing vessel,,,NOR
257165340,Fishing vessel,Fishing vessel,,,NOR
257165440,Fishing vessel,Fishing vessel,,,
257165720,Fishing vessel,Fishing vessel,,,
257165740,Fishing vessel,Fishing vessel,,,
257165920,Fishing vessel,Fishing vessel,,,NOR
257166000,Fishing vessel,Fishing vessel,,811.0,NOR
257166020,Fishing vessel,Fishing vessel,,,
257166140,Fishing vessel,Fishing vessel,,,
257166220,Fishing vessel,Fishing vessel,,23.0,NOR
257166400,Fishing vessel,Fishing vessel,,336.0,NOR
257166440,Fishing vessel,Fishing vessel,,,
257166500,Fishing vessel,Fishing vessel,,,
257166520,Fishing vessel,Fishing vessel,,4.0,
257166620,Fishing vessel,Fishing vessel,,,
257166640,Fishing vessel,Fishing vessel,,,
257166740,Fishing vessel,Fishing vessel,,,
257166920,Fishing vessel,Fishing vessel,,10.0,NOR
257167020,Fishing vessel,Fishing vessel,,24.0,NOR
257167220,Fishing vessel,Fishing vessel,,,NOR
257167320,Fishing vessel,Fishing vessel,,15.0,NOR
257167440,Fishing vessel,Fishing vessel,,,
257167540,Fishing vessel,Fishing vessel,,24.0,NOR
257167600,Fishing vessel,Fishing vessel,,7.0,
257167740,Fishing vessel,Fishing vessel,,,
257167800,Fishing vessel,Fishing vessel,,,NOR
257167840,Fishing vessel,Fishing vessel,,,
257167940,Fishing vessel,Fishing vessel,,,
257168040,Fishing vessel,Fishing vessel,,,NOR
257168140,Fishing vessel,Fishing vessel,,,
257168240,Fishing vessel,Fishing vessel,,,NOR
257168420,Fishing vessel,Fishing vessel,,,
257168520,Fishing vessel,Fishing vessel,,,
257168540,Fishing vessel,Fishing vessel,,,
257168620,Fishing vessel,Fishing vessel,,,
257168640,Fishing vessel,Fishing vessel,,,
257168800,Fishing vessel,Fishing vessel,,,NOR
257168820,Fishing vessel,Fishing vessel,,,
257168840,Fishing vessel,Fishing vessel,,20.0,
257168900,Fishing vessel,Fishing vessel,,,
257168940,Fishing vessel,Fishing vessel,,,
257169040,Fishing vessel,Fishing vessel,,,
257169140,Fishing vessel,Fishing vessel,,,NOR
257169320,Fishing vessel,Fishing vessel,,,NOR
257169420,Fishing vessel,Fishing vessel,,,NOR
257169500,Fishing vessel,Fishing vessel,,,
257169540,Fishing vessel,Fishing vessel,,,
257169620,Fishing vessel,Fishing vessel,,,NOR
257169740,Fishing vessel,Fishing vessel,,,
257169800,Fishing vessel,Fishing vessel,,8.0,
257169820,Fishing vessel,Fishing vessel,,21.0,NOR
257169840,Fishing vessel,Fishing vessel,,,
257169920,Fishing vessel,Fishing vessel,,,NOR
257169940,Fishing vessel,Fishing vessel,,,
257170040,Fishing vessel,Fishing vessel,,,
257170140,Fishing vessel,Fishing vessel,,,
257170240,Fishing vessel,Fishing vessel,,,
257170320,Fishing vessel,Fishing vessel,,,NOR
257170340,Fishing vessel,Fishing vessel,,,NOR
257170620,Fishing vessel,Fishing vessel,,,
257170640,Fishing vessel,Fishing vessel,,,
257170720,Fishing vessel,Fishing vessel,,,NOR
257170740,Fishing vessel,Fishing vessel,,,
257170820,Fishing vessel,Fishing vessel,,,NOR
257170840,Fishing vessel,Fishing vessel,,,
257170940,Fishing vessel,Fishing vessel,,24.0,NOR
257171020,Fishing vessel,Fishing vessel,,,NOR
257171120,Fishing vessel,Fishing vessel,,,
257171140,Fishing vessel,Fishing vessel,,,
257171220,Fishing vessel,Fishing vessel,,,NOR
257171240,Fishing vessel,Fishing vessel,,,
257171320,Fishing vessel,Fishing vessel,,,
257171420,Fishing vessel,Fishing vessel,,,
257171440,Fishing vessel,Fishing vessel,,,
257171620,Fishing vessel,Fishing vessel,,,NOR
257171720,Fishing vessel,Fishing vessel,,,
257171740,Fishing vessel,Fishing vessel,,,
257171940,Fishing vessel,Fishing vessel,,,NOR
257172040,Fishing vessel,Fishing vessel,,11.0,
257172120,Fishing vessel,Fishing vessel,,,
